trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.2, 'e': 0.5886049696783552}",20,0,-29.801144355100803,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
107,False,"{'a': 0.2, 'e': 0.5856692901447937}",25,3,-52.0095157827743,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 1}",1
108,False,"{'a': 0.2, 'e': 0.5827482523739896}",30,0,-19.84409571478569,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
109,False,"{'a': 0.2, 'e': 0.5798417833398464}",25,0,-31.04626278338005,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
110,False,"{'a': 0.2, 'e': 0.5769498103804866}",20,0,-155.21013896873563,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
111,False,"{'a': 0.2, 'e': 0.574072261196436}",20,0,-28.02358848521773,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
112,False,"{'a': 0.2, 'e': 0.5712090638488149}",20,11,-24.931306425574075,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.2, 'e': 0.5683601467575404}",20,13,0.1784266741069933,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.2, 'e': 0.5655254386995371}",20,0,-46.094681493718696,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
115,False,"{'a': 0.2, 'e': 0.5627048688069557}",25,0,-89.88686177661081,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
116,False,"{'a': 0.2, 'e': 0.559898366565402}",20,12,-24.482476781189636,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
117,False,"{'a': 0.2, 'e': 0.5571058618121739}",20,0,-58.54955020092988,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
118,False,"{'a': 0.2, 'e': 0.5543272847345071}",25,7,5.753718161495579,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.2, 'e': 0.5515625658678298}",25,12,1.219395028198955,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.5488116360940265}",20,2,-65.78747521361989,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
121,False,"{'a': 0.2, 'e': 0.5460744266397094}",25,0,-88.48793599205852,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
122,False,"{'a': 0.2, 'e': 0.5433508690744998}",30,0,-76.87460942252811,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
123,False,"{'a': 0.2, 'e': 0.5406408953093166}",30,0,-194.39517905058838,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 5}",0
124,False,"{'a': 0.2, 'e': 0.5379444375946745}",25,0,-65.98733861709698,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
125,False,"{'a': 0.2, 'e': 0.5352614285189903}",25,0,-41.184015877467516,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
126,False,"{'a': 0.2, 'e': 0.5325918010068972}",20,0,-45.03107149255148,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
127,False,"{'a': 0.2, 'e': 0.5299354883175685}",25,12,-20.594183335790483,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.5272924240430485}",30,11,-78.70492386249771,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 1}",1
